Content_ID,Platform,Content_Type,AI_Tool_Used,AI_Type,Duration_Seconds,Production_Cost_USD,Views,Likes,Comments,Shares,Engagement_Rate,Watch_Time_Avg_Sec,Retention_Rate,Revenue_USD
ACC000001,TikTok,Short,Adobe Firefly,Text-to-video,20,15.93,10529,474,52.0,39.0,0.0537,7.3,42.04,9.95
ACC000002,TikTok,Short,HeyGen,Avatar video,12,23.21,10058,451,64.0,44.0,0.0556,5.99,54.76,5.7
ACC000003,YouTube,Short,Canva AI,AI-assisted editing,46,14.6,4349,187,23.0,10.0,0.0506,34.01,85.35,2.98
ACC000004,TikTok,Reel,InVideo AI,AI-assisted editing,27,10.07,23968,1259,39.0,236.0,0.0682,19.54,73.52,4.62
ACC000005,TikTok,Short,Pika,Text-to-video,52,16.85,3290,118,22.0,43.0,0.0532,25.67,53.88,0.61
ACC000006,Instagram,Video,Pika,Image-to-video,719,67.8,2341,96,10.0,18.0,0.053,273.9,44.41,1.3
ACC000007,Instagram,Video,Runway,Text-to-video,173,33.97,12441,588,57.0,66.0,0.0571,67.64,47.81,14.6
ACC000008,Instagram,Reel,Adobe Firefly,Image-to-video,49,19.48,7936,229,41.0,54.0,0.0408,25.97,50.32,12.38
ACC000009,TikTok,Short,Canva AI,Image-to-video,52,9.53,9339,797,39.0,110.0,0.1043,31.35,62.55,6.87
ACC000010,YouTube,Short,Canva AI,AI-assisted editing,31,9.6,13703,638,70.0,43.0,0.056,21.56,73.37,12.55
ACC000011,TikTok,Short,Pika,AI-assisted editing,39,28.11,49613,3582,218.0,476.0,0.0862,19.81,55.85,62.98
ACC000012,TikTok,Short,Pika,Text-to-video,49,11.76,3638,222,13.0,28.0,0.0723,26.42,56.8,3.78
ACC000013,Instagram,Video,Pika,Image-to-video,477,52.97,4939,252,25.0,32.0,0.0626,227.93,47.04,1.64
ACC000014,YouTube,Short,Canva AI,Text-to-video,24,9.9,10039,298,39.0,27.0,0.038,19.03,77.21,26.67
ACC000015,YouTube,Video,InVideo AI,AI-assisted editing,303,37.47,2754,63,9.0,43.0,0.0305,134.35,53.97,26.8
ACC000016,TikTok,Reel,Adobe Firefly,Image-to-video,86,18.69,6123,221,38.0,24.0,0.0462,37.92,49.25,1.01
ACC000017,TikTok,Short,Runway,Image-to-video,23,21.99,34237,2902,182.0,300.0,0.0988,12.44,65.19,7.07
ACC000018,TikTok,Reel,InVideo AI,Text-to-video,55,15.67,18412,927,116.0,76.0,0.0608,39.39,77.02,25.74
ACC000019,Instagram,Short,CapCut AI,Avatar video,31,15.76,33928,1234,39.0,230.0,0.0488,15.36,51.24,67.05
ACC000020,TikTok,Short,Adobe Firefly,Image-to-video,54,27.89,19779,959,66.0,43.0,0.0584,42.77,80.4,23.91
ACC000021,TikTok,Reel,InVideo AI,AI-assisted editing,26,8.27,3738,150,28.0,18.0,0.0524,10.43,43.33,3.8
ACC000022,TikTok,Short,Runway,AI-assisted editing,21,8.22,14273,571,55.0,166.0,0.0555,11.78,55.5,17.4
ACC000023,Instagram,Reel,Adobe Firefly,Image-to-video,60,21.85,7915,286,48.0,61.0,0.0499,21.79,34.45,13.06
ACC000024,Instagram,Reel,Pika,AI-assisted editing,67,22.52,25011,1665,39.0,43.0,0.0768,25.11,36.52,14.04
ACC000025,Instagram,Video,Synthesia,Text-to-video,294,45.26,4772,153,25.0,21.0,0.0417,154.93,59.37,6.71
ACC000026,Instagram,Video,InVideo AI,Text-to-video,328,41.52,3910,194,20.0,17.0,0.0591,208.91,69.71,4.29
ACC000027,YouTube,Video,Pika,Image-to-video,62,10.15,9711,350,55.0,41.0,0.0459,22.37,39.28,82.21
ACC000028,YouTube,Short,CapCut AI,AI-assisted editing,32,8.64,4010,216,18.0,16.0,0.0623,21.6,69.75,6.55
ACC000029,TikTok,Short,Synthesia,Avatar video,49,19.08,8885,543,39.0,108.0,0.0798,27.02,55.33,8.5
ACC000030,YouTube,Short,Runway,AI-assisted editing,27,18.06,5250,266,10.0,43.0,0.055,14.2,54.17,6.29
ACC000031,TikTok,Reel,HeyGen,Avatar video,15,35.14,1030,73,4.0,8.0,0.0825,7.12,45.65,0.27
ACC000032,YouTube,Short,Adobe Firefly,AI-assisted editing,50,15.39,7097,370,25.0,29.0,0.0597,39.13,84.42,7.47
ACC000033,Instagram,Video,Pika,Text-to-video,713,69.59,5808,289,29.0,22.0,0.0585,374.65,62.5,10.47
ACC000034,YouTube,Video,Pika,Image-to-video,784,77.86,3582,83,39.0,9.0,0.0307,406.31,54.11,40.96
ACC000035,YouTube,Short,HeyGen,AI-assisted editing,31,24.81,46115,2174,186.0,43.0,0.0544,9.63,35.57,59.93
ACC000036,TikTok,Short,HeyGen,Text-to-video,37,22.58,22674,1486,132.0,96.0,0.0756,12.47,36.53,27.82
ACC000037,YouTube,Short,Synthesia,Avatar video,32,15.03,5350,200,26.0,7.0,0.0436,29.38,87.56,7.06
ACC000038,YouTube,Video,Canva AI,AI-assisted editing,265,30.02,2672,66,15.0,7.0,0.0329,60.43,27.84,14.36
ACC000039,TikTok,Short,Canva AI,Text-to-video,31,9.91,4447,381,39.0,44.0,0.0998,16.89,65.01,4.44
ACC000040,TikTok,Short,Adobe Firefly,Text-to-video,55,17.25,7642,407,38.0,43.0,0.0648,33.12,58.8,8.93
ACC000041,YouTube,Short,CapCut AI,AI-assisted editing,57,13.56,13449,572,75.0,50.0,0.0518,37.25,70.15,50.91
ACC000042,TikTok,Reel,Canva AI,AI-assisted editing,26,8.6,32825,2289,133.0,262.0,0.0818,18.23,78.07,24.09
